id,documentId,versionNumber,isLatest,createdAt,createdBy,status,storageRef,notes
doc-001-v1,doc-001,1,0,2024-01-15,system,Original,contracts/2024/acme-service-agreement.pdf,
doc-001-v2,doc-001,2,0,2024-01-18,system,Reviewed,contracts/2024/acme-service-agreement_v2.pdf,"Minor updates after initial review"
doc-001-v3,doc-001,3,0,2024-01-21,system,"Pending Review",contracts/2024/acme-service-agreement_v3.pdf,"Latest version (post-approval changes)"
doc-002-v1,doc-002,1,0,2024-01-14,"Sarah Johnson",Original,contracts/2024/techstart-nda.pdf,
doc-002-v2,doc-002,2,0,2024-01-17,"Sarah Johnson",Reviewed,contracts/2024/techstart-nda_v2.pdf,"Minor updates after initial review"
doc-002-v3,doc-002,3,1,2024-01-20,"Sarah Johnson",Reviewed,contracts/2024/techstart-nda_v3.pdf,"Latest version (post-approval changes)"
doc-003-v1,doc-003,1,0,2024-01-13,system,Original,contracts/2024/globaltech-msa.pdf,
doc-003-v2,doc-003,2,0,2024-01-16,system,Reviewed,contracts/2024/globaltech-msa_v2.pdf,"Minor updates after initial review"
doc-003-v3,doc-003,3,1,2024-01-19,system,"Pending Review",contracts/2024/globaltech-msa_v3.pdf,"Latest version (post-approval changes)"
doc-004-v1,doc-004,1,0,2024-01-12,"Michael Chen",Original,contracts/2024/dataflow-license.pdf,
doc-004-v2,doc-004,2,0,2024-01-15,"Michael Chen",Reviewed,contracts/2024/dataflow-license_v2.pdf,"Minor updates after initial review"
doc-004-v3,doc-004,3,1,2024-01-18,"Michael Chen",Approved,contracts/2024/dataflow-license_v3.pdf,"Latest version (post-approval changes)"
doc-005-v1,doc-005,1,0,2024-01-11,system,Original,contracts/2024/innovation-consulting.pdf,
doc-005-v2,doc-005,2,0,2024-01-14,system,Reviewed,contracts/2024/innovation-consulting_v2.pdf,"Minor updates after initial review"
doc-005-v3,doc-005,3,1,2024-01-17,system,"Pending Review",contracts/2024/innovation-consulting_v3.pdf,"Latest version (post-approval changes)"
doc-001-v4,doc-001,4,0,"2025-12-15 00:56:18",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"Demo version"
doc-001-v5,doc-001,5,0,"2025-12-15 00:56:18",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"Demo version"
doc-001-v6,doc-001,6,0,"2025-12-15 00:56:18",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"Demo version"
doc-001-v7,doc-001,7,0,"2025-12-15 00:56:18",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"Demo version"
doc-001-v8,doc-001,8,0,"2025-12-15 00:56:18",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"Demo version"
doc-001-v9,doc-001,9,0,"2025-12-15 00:56:18",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"Demo version"
doc-001-v10,doc-001,10,0,"2025-12-15 00:56:18",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"Demo version"
doc-001-v11,doc-001,11,0,"2025-12-15 00:56:18",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"Demo version"
doc-001-v12,doc-001,12,0,"2025-12-15 00:56:18",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"Demo version"
doc-001-v13,doc-001,13,1,"2025-12-15 00:59:17",system,Reviewed,contracts/2024/acme-service-agreement_v3.pdf,"New version test"
